SiteId,SampleID,Leg,Hole,Core,Type,Section,Half,top,bot,mbsf,age,ich_accum,tooth_accum,dent_accum
1,1,91,596,3,H,1,W,20,23,15.32,42.270508,112.480569,93.46976862,19.0108004
2,2,91,596,3,H,1,W,25,28,15.37,42.575593,96.03055082,82.52625461,13.50429621
3,3,91,596,3,H,1,W,30,33,15.42,42.880678,89.57507248,77.53136526,12.04370722
4,4,91,596,3,H,1,W,35,38,15.47,43.185763,96.98881739,79.72809565,17.26072174
5,5,91,596,3,H,1,W,40,43,15.52,43.490847,79.22159448,73.27997489,5.941619586
6,6,91,596,3,H,1,W,45,48,15.57,43.795932,73.24845908,62.50535175,10.74310733
7,7,91,596,3,H,1,W,50,53,15.62,44.101017,84.23797434,66.36931311,17.86866122
8,8,91,596,3,H,1,W,55,58,15.67,44.406102,92.06584046,75.01661075,17.04922972
9,9,91,596,3,H,1,W,60,63,15.72,44.711186,57.08856334,48.69318638,8.395376962
10,10,91,596,3,H,1,W,65,68,15.77,45.016271,79.62047725,64.90799776,14.71247949
11,11,91,596,3,H,1,W,70,73,15.82,45.321356,86.77733377,76.8913084,9.886025366
12,12,91,596,3,H,1,W,75,78,15.87,45.626441,93.37018414,71.89504179,21.47514235
13,13,91,596,3,H,1,W,80,83,15.92,45.927805,114.5822019,89.95238279,24.6298191
14,14,91,596,3,H,1,W,85,88,15.97,46.220488,96.00575843,72.35216577,23.65359266
15,15,91,596,3,H,1,W,90,93,16.02,46.513171,126.4690069,100.202367,26.26663989
16,16,91,596,3,H,1,W,95,98,16.07,46.805854,134.0652441,100.3616911,26.96284238
17,17,91,596,3,H,1,W,100,103,16.12,47.098537,78.52395943,65.11742977,13.40652966
18,18,91,596,3,H,1,W,105,108,16.17,47.39122,109.3498594,95.22038317,14.12947621
19,19,91,596,3,H,1,W,110,113,16.22,47.683902,106.3811614,92.19700656,14.18415486
20,20,91,596,3,H,1,W,120,123,16.32,48.268947,112.1981266,92.96416206,19.23396456
21,21,91,596,3,H,1,W,130,133,16.42,48.847895,111.4458865,90.15049417,21.29539232
22,22,91,596,3,H,1,W,135,138,16.47,49.137368,198.3842011,173.8472078,24.53699329
23,23,91,596,3,H,1,W,140,143,16.52,49.42,212.7922582,179.9614527,32.83080556
24,24,91,596,3,H,1,W,145,148,16.57,49.686667,281.1017391,247.5484811,33.55325798
25,25,91,596,3,H,2,W,5,8,16.67,50.22,313.6916816,265.809194,41.74370714
26,26,91,596,3,H,2,W,10,13,16.72,50.486667,297.7784847,258.6494634,39.12902138
27,27,91,596,3,H,2,W,15,18,16.77,50.753333,248.527919,206.4920395,41.2984079
28,28,91,596,3,H,2,W,20,23,16.82,51.02,239.6650073,204.6423272,35.02268015
29,29,91,596,3,H,2,W,25,28,16.87,51.286667,209.013794,174.0393743,34.97441972
30,30,91,596,3,H,2,W,30,33,16.92,51.553333,200.5974329,162.9265535,37.67087943
31,31,91,596,3,H,2,W,35,38,16.97,51.82,176.9586618,151.0047247,25.95393706
32,32,91,596,3,H,2,W,40,43,17.02,52.086667,163.5481857,133.2319367,30.31624906
33,33,91,596,3,H,2,W,45,48,17.07,52.353333,161.8620424,130.3415394,31.520503
34,34,91,596,3,H,2,W,50,53,17.12,52.615,138.0573936,119.2685175,18.78887605
