Age_ma,Pacific_d18O_trend,Pacific_d18O_low,Pacific_d18O_high
0,3.46,3.38,3.54
0.1,3.46,3.38,3.54
0.2,3.46,3.38,3.54
0.3,3.47,3.39,3.55
0.4,3.48,3.41,3.56
0.5,3.49,3.41,3.56
0.6,3.47,3.40,3.55
0.7,3.44,3.36,3.51
0.8,3.38,3.30,3.45
0.9,3.32,3.24,3.40
1,3.27,3.19,3.34
1.1,3.23,3.15,3.30
1.2,3.20,3.12,3.28
1.3,3.18,3.11,3.26
1.4,3.17,3.09,3.25
1.5,3.16,3.08,3.24
1.6,3.15,3.08,3.23
1.7,3.14,3.06,3.22
1.8,3.13,3.04,3.21
1.9,3.11,3.02,3.19
2,3.08,3.00,3.17
2.1,3.06,2.98,3.15
2.2,3.04,2.96,3.13
2.3,3.02,2.94,3.10
2.4,2.99,2.90,3.07
2.5,2.94,2.86,3.02
2.6,2.88,2.79,2.96
2.7,2.81,2.73,2.90
2.8,2.75,2.66,2.85
2.9,2.70,2.61,2.80
3,2.66,2.57,2.76
3.1,2.63,2.54,2.73
3.2,2.62,2.52,2.71
3.3,2.61,2.52,2.70
3.4,2.60,2.50,2.69
3.5,2.58,2.49,2.67
3.6,2.55,2.47,2.64
3.7,2.52,2.43,2.61
3.8,2.49,2.41,2.58
3.9,2.47,2.38,2.56
4,2.45,2.37,2.54
4.1,2.44,2.36,2.53
4.2,2.44,2.35,2.52
4.3,2.44,2.36,2.53
4.4,2.45,2.37,2.54
4.5,2.47,2.38,2.55
4.6,2.48,2.39,2.57
4.7,2.48,2.38,2.57
4.8,2.46,2.37,2.56
4.9,2.44,2.34,2.55
5,2.42,2.31,2.53
5.1,2.40,2.28,2.52
5.2,2.40,2.28,2.52
5.3,2.41,2.29,2.53
5.4,2.42,2.30,2.54
5.5,2.43,2.32,2.55
5.6,2.45,2.33,2.56
5.7,2.45,2.34,2.57
5.8,2.46,2.35,2.57
5.9,2.46,2.36,2.56
6,2.46,2.36,2.55
6.1,2.45,2.36,2.55
6.2,2.45,2.36,2.55
6.3,2.45,2.35,2.55
6.4,2.44,2.34,2.54
6.5,2.43,2.33,2.53
6.6,2.42,2.32,2.52
6.7,2.41,2.31,2.51
6.8,2.41,2.31,2.51
6.9,2.41,2.31,2.51
7,2.41,2.31,2.51
7.1,2.41,2.31,2.51
7.2,2.40,2.31,2.50
7.3,2.39,2.29,2.49
7.4,2.37,2.27,2.47
7.5,2.34,2.25,2.44
7.6,2.32,2.22,2.42
7.7,2.31,2.20,2.41
7.8,2.30,2.19,2.41
7.9,2.31,2.19,2.42
8,2.32,2.20,2.43
8.1,2.33,2.22,2.44
8.2,2.35,2.24,2.45
8.3,2.36,2.26,2.46
8.4,2.37,2.27,2.47
8.5,2.37,2.26,2.49
8.6,2.37,2.24,2.50
8.7,2.37,2.23,2.50
8.8,2.37,2.24,2.50
8.9,2.37,2.25,2.49
9,2.37,2.26,2.49
9.1,2.37,2.25,2.49
9.2,2.36,2.23,2.48
9.3,2.34,2.21,2.47
9.4,2.33,2.20,2.47
9.5,2.33,2.19,2.47
9.6,2.33,2.18,2.47
9.7,2.31,2.16,2.46
9.8,2.29,2.15,2.43
9.9,2.25,2.11,2.40
10,2.22,2.09,2.36
10.1,2.21,2.08,2.34
10.2,2.21,2.09,2.34
10.3,2.23,2.10,2.35
10.4,2.24,2.13,2.36
10.5,2.27,2.15,2.38
10.6,2.29,2.17,2.40
10.7,2.30,2.18,2.42
10.8,2.31,2.19,2.42
10.9,2.30,2.19,2.41
11,2.28,2.16,2.39
11.1,2.25,2.13,2.38
11.2,2.23,2.11,2.35
11.3,2.21,2.10,2.32
11.4,2.19,2.09,2.29
11.5,2.18,2.08,2.29
11.6,2.18,2.08,2.29
11.7,2.19,2.09,2.29
11.8,2.21,2.10,2.32
11.9,2.23,2.11,2.34
12,2.24,2.13,2.35
12.1,2.25,2.14,2.36
12.2,2.26,2.16,2.36
12.3,2.26,2.16,2.36
12.4,2.25,2.16,2.35
12.5,2.24,2.15,2.33
12.6,2.21,2.13,2.30
12.7,2.17,2.09,2.25
12.8,2.13,2.05,2.21
12.9,2.08,2.00,2.16
13,2.04,1.96,2.11
13.1,2.00,1.92,2.07
13.2,1.96,1.88,2.04
13.3,1.93,1.85,2.00
13.4,1.90,1.83,1.98
13.5,1.88,1.80,1.96
13.6,1.86,1.78,1.94
13.7,1.84,1.77,1.92
13.8,1.82,1.74,1.89
13.9,1.78,1.70,1.86
14,1.73,1.65,1.81
14.1,1.68,1.60,1.75
14.2,1.62,1.54,1.70
14.3,1.57,1.49,1.64
14.4,1.52,1.44,1.60
14.5,1.48,1.40,1.57
14.6,1.46,1.37,1.54
14.7,1.44,1.35,1.52
14.8,1.42,1.34,1.51
14.9,1.40,1.31,1.49
15,1.37,1.28,1.45
15.1,1.33,1.24,1.41
15.2,1.28,1.20,1.36
15.3,1.25,1.17,1.33
15.4,1.23,1.16,1.31
15.5,1.25,1.18,1.33
15.6,1.29,1.21,1.36
15.7,1.32,1.25,1.40
15.8,1.36,1.28,1.43
15.9,1.38,1.31,1.45
16,1.39,1.32,1.46
16.1,1.37,1.30,1.45
16.2,1.34,1.27,1.41
16.3,1.29,1.22,1.37
16.4,1.24,1.17,1.32
16.5,1.21,1.13,1.28
16.6,1.19,1.11,1.27
16.7,1.20,1.13,1.28
16.8,1.23,1.15,1.31
16.9,1.26,1.18,1.35
17,1.30,1.22,1.38
17.1,1.34,1.26,1.42
17.2,1.38,1.29,1.47
17.3,1.42,1.32,1.52
17.4,1.47,1.36,1.58
17.5,1.51,1.40,1.62
17.6,1.54,1.43,1.64
17.7,1.54,1.43,1.65
17.8,1.52,1.41,1.62
17.9,1.48,1.38,1.58
18,1.43,1.33,1.54
18.1,1.40,1.30,1.50
18.2,1.38,1.28,1.48
18.3,1.37,1.27,1.48
18.4,1.38,1.28,1.47
18.5,1.38,1.29,1.48
18.6,1.39,1.29,1.49
18.7,1.40,1.30,1.51
18.8,1.43,1.33,1.53
18.9,1.47,1.37,1.56
19,1.50,1.41,1.59
19.1,1.52,1.43,1.62
19.2,1.54,1.45,1.64
19.3,1.56,1.46,1.65
19.4,1.57,1.47,1.66
19.5,1.57,1.48,1.67
19.6,1.58,1.48,1.68
19.7,1.58,1.48,1.68
19.8,1.57,1.47,1.67
