age,temp
0,1.29
0.001,1.29
0.002,1.37
0.003,1.19
0.004,1.17
0.005,1.24
0.006,1.13
0.007,1.06
0.008,0.98
0.009,1.05
0.01,0.83
0.011,0.7
0.012,0.19
0.013,-0.03
0.014,-0.38
0.015,-0.71
0.016,-1.13
0.017,-1.33
0.018,-1.56
0.019,-1.46
0.02,-1.51
0.021,-1.38
0.022,-1.33
0.023,-1.3
0.024,-1.22
0.025,-1.24
0.026,-1
0.027,-1.13
0.028,-1.13
0.029,-1.1
0.03,-0.92
0.031,-0.92
0.032,-0.89
0.033,-0.86
0.034,-0.87
0.035,-0.79
0.036,-0.65
0.037,-0.67
0.038,-0.59
0.039,-0.81
0.04,-0.81
0.041,-0.75
0.042,-0.73
0.043,-0.67
0.044,-0.7
0.045,-0.46
0.046,-0.51
0.047,-0.54
0.048,-0.65
0.049,-0.67
0.05,-0.48
0.051,-0.46
0.052,-0.43
0.053,-0.63
0.054,-0.54
0.055,-0.43
0.056,-0.49
0.057,-0.62
0.058,-0.71
0.059,-0.62
0.06,-0.89
0.061,-0.75
0.062,-0.89
0.063,-0.78
0.064,-0.51
0.065,-0.7
0.066,-0.84
0.067,-0.63
0.068,-0.6
0.069,-0.68
0.07,-0.44
0.071,-0.29
0.072,-0.27
0.073,-0.3
0.074,0.02
0.075,0.14
0.076,-0.03
0.077,-0.06
0.078,-0.02
0.079,-0.02
0.08,0.22
0.081,0.35
0.082,0.38
0.083,0.33
0.084,0.35
0.085,0.14
0.086,-0.03
0.087,-0.22
0.088,-0.11
0.089,-0.06
0.09,-0.03
0.091,0.02
0.092,0.1
0.093,0.22
0.094,0.32
0.095,0.43
0.096,0.46
0.097,0.33
0.098,0.22
0.099,0.41
0.1,0.37
0.101,0.19
0.102,0.29
0.103,0.25
0.104,0.19
0.105,0.3
0.106,0.06
0.107,0
0.108,-0.11
0.109,-0.13
0.11,0
0.111,0.03
0.112,0.02
0.113,0.17
0.114,0.37
0.115,0.52
0.116,0.73
0.117,0.79
0.118,0.95
0.119,1.17
0.12,1.22
0.121,1.24
0.122,1.37
0.123,1.49
0.124,1.22
0.125,1.43
0.126,1.4
0.127,1.06
0.128,0.52
0.129,0.22
0.13,0.59
0.131,0.37
0.132,-0.25
0.133,-0.59
0.134,-1.05
0.135,-1.3
0.136,-1.24
0.137,-1.21
0.138,-1.35
0.139,-1.32
0.14,-1.49
0.141,-1.22
0.142,-1.13
0.143,-1.17
0.144,-1.24
0.145,-1.11
0.146,-1.16
0.147,-1.24
0.148,-1.06
0.149,-1.13
0.15,-1.13
0.151,-0.98
0.152,-0.95
0.153,-0.92
0.154,-0.98
0.155,-0.75
0.156,-1.17
0.157,-1.11
0.158,-1.03
0.159,-0.98
0.16,-1.03
0.161,-0.97
0.162,-0.98
0.163,-1.05
0.164,-1.02
0.165,-1.02
0.166,-0.7
0.167,-0.59
0.168,-0.7
0.169,-0.73
0.17,-0.73
0.171,-0.78
0.172,-0.67
0.173,-0.54
0.174,-0.38
0.175,-0.44
0.176,-0.56
0.177,-0.67
0.178,-0.63
0.179,-0.7
0.18,-0.56
0.181,-0.67
0.182,-0.7
0.183,-0.52
0.184,-0.57
0.185,-0.87
0.186,-0.68
0.187,-0.57
0.188,-0.67
0.189,-0.56
0.19,-0.38
0.191,-0.14
0.192,0.44
0.193,0.19
0.194,0.32
0.195,0.21
0.196,0.35
0.197,0.48
0.198,0.35
0.199,0.75
0.2,0.81
0.201,0.81
0.202,0.65
0.203,0.68
0.204,0.41
0.205,0.35
0.206,0.43
0.207,0.41
0.208,0.52
0.209,0.63
0.21,0.75
0.211,0.7
0.212,0.68
0.213,0.62
0.214,0.76
0.215,0.79
0.216,0.81
0.217,0.89
0.218,0.51
0.219,0.16
0.22,0.1
0.221,-0.3
0.222,-0.54
0.223,-0.63
0.224,-0.56
0.225,-0.38
0.226,-0.4
0.227,-0.24
0.228,-0.24
0.229,0.03
0.23,-0.41
0.231,-0.29
0.232,-0.21
0.233,0.11
0.234,0.32
0.235,0.52
0.236,0.6
0.237,0.9
0.238,0.84
0.239,0.95
0.24,0.95
0.241,0.79
0.242,0.57
0.243,0.41
0.244,-0.02
0.245,-0.21
0.246,-0.54
0.247,-0.43
0.248,-0.54
0.249,-0.51
0.25,-0.73
0.251,-0.86
0.252,-0.94
0.253,-0.76
0.254,-0.84
0.255,-0.52
0.256,-0.62
0.257,-0.81
0.258,-0.75
0.259,-0.76
0.26,-0.67
0.261,-0.76
0.262,-0.65
0.263,-0.67
0.264,-0.6
0.265,-0.63
0.266,-0.73
0.267,-0.73
0.268,-0.46
0.269,-0.76
0.27,-0.75
0.271,-0.73
0.272,-0.63
0.273,-0.63
0.274,-0.54
0.275,-0.54
0.276,-0.41
0.277,-0.63
0.278,-0.43
0.279,-0.3
0.28,-0.16
0.281,-0.27
0.282,0.1
0.283,0.27
0.284,0.29
0.285,0.32
0.286,0.35
0.287,0.24
0.288,0.03
0.289,-0.03
0.29,-0.1
0.291,-0.11
0.292,-0.37
0.293,-0.29
0.294,-0.46
0.295,-0.43
0.296,-0.3
0.297,-0.41
0.298,-0.21
0.299,-0.3
0.3,0.03
0.301,-0.03
0.302,-0.03
0.303,0.06
0.304,-0.05
0.305,-0.05
0.306,-0.02
0.307,0.06
0.308,0.3
0.309,0.29
0.31,0.38
0.311,0.54
0.312,0.4
0.313,0.56
0.314,0.43
0.315,0.67
0.316,0.56
0.317,0.24
0.318,0.44
0.319,0.73
0.32,0.6
0.321,0.81
0.322,0.81
0.323,0.9
0.324,1.32
0.325,1.16
0.326,1.29
0.327,1.3
0.328,1.29
0.329,1.35
0.33,1.17
0.331,1.19
0.332,1.03
0.333,1.05
0.334,0.84
0.335,0.46
0.336,-0.06
0.337,-0.3
0.338,-0.21
0.339,-0.6
0.34,-0.89
0.341,-1.27
0.342,-1.25
0.343,-1.21
0.344,-1.14
0.345,-1.19
0.346,-1.02
0.347,-0.78
0.348,-0.71
0.349,-0.92
0.35,-1
0.351,-0.95
0.352,-0.68
0.353,-0.68
0.354,-0.57
0.355,-0.87
0.356,-0.67
0.357,-0.81
0.358,-0.86
0.359,-0.71
0.36,-0.79
0.361,-0.73
0.362,-0.73
0.363,-0.78
0.364,-0.51
0.365,-0.67
0.366,-0.44
0.367,-0.52
0.368,-0.57
0.369,-0.54
0.37,-0.51
0.371,-0.37
0.372,-0.6
0.373,-0.4
0.374,-0.48
0.375,-0.25
0.376,-0.27
0.377,-0.25
0.378,-0.24
0.379,-0.21
0.38,-0.24
0.381,-0.17
0.382,-0.02
0.383,-0.13
0.384,-0.06
0.385,-0.16
0.386,0.03
0.387,0.08
0.388,0.19
0.389,0.24
0.39,0.13
0.391,0.06
0.392,0.11
0.393,0.29
0.394,0.19
0.395,0.44
0.396,0.51
0.397,0.9
0.398,0.79
0.399,0.89
0.4,1.14
0.401,1.33
0.402,1.38
0.403,1.41
0.404,1.33
0.405,1.48
0.406,1.35
0.407,1.32
0.408,1.38
0.409,1.3
0.41,1.41
0.411,1.19
0.412,1.16
0.413,1.05
0.414,1
0.415,1
0.416,0.84
0.417,0.75
0.418,0.46
0.419,0.37
0.42,0.43
0.421,0.3
0.422,0.16
0.423,0.03
0.424,0.19
0.425,-0.41
0.426,-0.73
0.427,-0.41
0.428,-1.08
0.429,-1.38
0.43,-1.49
0.431,-1.6
0.432,-1.6
0.433,-1.65
0.434,-1.65
0.435,-1.56
0.436,-1.63
0.437,-1.37
0.438,-1.19
0.439,-1.32
0.44,-1.14
0.441,-1.44
0.442,-1.46
0.443,-1.38
0.444,-1.24
0.445,-1.38
0.446,-1.24
0.447,-0.75
0.448,-1.16
0.449,-1.1
0.45,-1.13
0.451,-0.86
0.452,-1.1
0.453,-0.83
0.454,-0.89
0.455,-0.59
0.456,-0.92
0.457,-0.94
0.458,-0.81
0.459,-0.94
0.46,-0.83
0.461,-0.87
0.462,-0.9
0.463,-0.9
0.464,-0.63
0.465,-0.84
0.466,-0.67
0.467,-0.63
0.468,-0.54
0.469,-0.75
0.47,-0.46
